🌸四季,#genre#
三立財經新聞,http://sc2022.stream-link.org/tv2306.php?id=t09
三立新聞,http://sc2022.stream-link.org/tv2306.php?id=t10
三立新聞+,http://sc2022.stream-link.org/tv2306.php?id=t11
台視新聞,http://sc2022.stream-link.org/tv2306.php?id=t12
TVBS新聞,http://sc2022.stream-link.org/tv2306.php?id=t13
TVBS財經,http://sc2022.stream-link.org/tv2306.php?id=t14
中天亞洲台,http://sc2022.stream-link.org/tv2306.php?id=t15
TVBS亞洲台,http://sc2022.stream-link.org/tv2306.php?id=t16
民視HD,http://sc2022.stream-link.org/tv2306.php?id=t17
民視第一台,http://sc2022.stream-link.org/tv2306.php?id=t18
民視台灣台,http://sc2022.stream-link.org/tv2306.php?id=t19
民視綜藝台,http://sc2022.stream-link.org/tv2306.php?id=t20
民視影劇台,http://sc2022.stream-link.org/tv2306.php?id=t21
民視旅遊台,http://sc2022.stream-link.org/tv2306.php?id=t22
三立台灣,http://sc2022.stream-link.org/tv2306.php?id=t23
三立都會,http://sc2022.stream-link.org/tv2306.php?id=t24


🇹🇼台灣,#genre#
台視,https://www.youtube.com/watch?v=uDqQo8a7Xmk&ab_channel=TTVLIVE%E5%8F%B0%E8%A6%96%E7%9B%B4%E6%92%AD
台視新聞台,https://www.youtube.com/watch?v=xL0ch83RAK8&ab_channel=%E5%8F%B0%E8%A6%96%E6%96%B0%E8%81%9ETTVNEWS
中視新聞台,https://www.youtube.com/watch?v=TCnaIE_SAtM&ab_channel=%E4%B8%AD%E8%A6%96%E6%96%B0%E8%81%9EHD%E7%9B%B4%E6%92%AD%E9%A0%BB%E9%81%93%EF%BD%9CTaiwanCTVnewsHDLive
華視新聞台,https://www.youtube.com/watch?v=wM0g8EoUZ_E&ab_channel=%E8%8F%AF%E8%A6%96%E6%96%B0%E8%81%9ECH52
民視新聞台,https://www.youtube.com/watch?v=ylYJSBUgaMA&ab_channel=%E6%B0%91%E8%A6%96%E6%96%B0%E8%81%9E%E7%B6%B2FormosaTVNewsnetwork
公共電視台,https://www.youtube.com/watch?v=4Uc00FPs27M&ab_channel=%E5%85%AC%E8%A6%96%E7%B6%B2%E8%B7%AF%E7%9B%B4%E6%92%AD%E9%A0%BB%E9%81%93
公視台語台,https://www.youtube.com/watch?v=6KlRR_DGhmI&ab_channel=%E5%85%AC%E8%A6%96%E5%8F%B0%E8%AA%9E%E5%8F%B0
公視新聞,https://www.youtube.com/watch?v=quwqlazU-c8&ab_channel=%E5%85%AC%E8%A6%96%E6%96%B0%E8%81%9E%E7%B6%B2
鏡新聞,https://www.youtube.com/watch?v=5n0y6b0Q25o&ab_channel=%E9%8F%A1%E6%96%B0%E8%81%9E
寰宇新聞台,https://www.youtube.com/watch?v=B7Zp3d6xXWw&ab_channel=%E5%AF%B0%E5%AE%87%E6%96%B0%E8%81%9E%E9%A0%BB%E9%81%93
寰宇新聞台灣台,https://www.youtube.com/watch?v=UcTIv4ZaE5Y&ab_channel=%E5%AF%B0%E5%AE%87%E6%96%B0%E8%81%9E%E9%A0%BB%E9%81%93
東森新聞,https://www.youtube.com/watch?v=S5WOGu2HSes&ab_channel=%E6%9D%B1%E6%A3%AE%E6%96%B0%E8%81%9ECH51
東森財經新聞,https://www.youtube.com/watch?v=WHEPzbFA3hw&ab_channel=57%E6%9D%B1%E6%A3%AE%E8%B2%A1%E7%B6%93%E6%96%B0%E8%81%9E
中天新聞台,https://www.youtube.com/watch?v=oIgbl7t0S_w&ab_channel=%E4%B8%AD%E5%A4%A9%E9%9B%BB%E8%A6%96
中天新聞2台,https://www.youtube.com/watch?v=WPfPjbOLNfE&ab_channel=%E4%B8%AD%E5%A4%A9%E6%B7%B1%E5%96%89%E5%9A%A8
中天亞洲台,https://www.youtube.com/watch?v=PYtGQvNmadg&ab_channel=CTIASIA%E4%B8%AD%E5%A4%A9%E4%BA%9E%E6%B4%B2%E5%8F%B0
TVBS新聞,https://www.youtube.com/watch?v=m_dhMSvUCIc&ab_channel=TVBSNEWS
三立新聞台,https://www.youtube.com/watch?v=oZdzzvxTfUY&ab_channel=%E4%B8%89%E7%AB%8BLIVE%E6%96%B0%E8%81%9E
三立iNEWS,https://www.youtube.com/watch?v=CKjSm5ZeehE&ab_channel=%E4%B8%89%E7%AB%8BiNEWS
新唐人亞太電視台,https://www.youtube.com/watch?v=WIhgU_mc05A&ab_channel=%E6%96%B0%E5%94%90%E4%BA%BA%E4%BA%9E%E5%A4%AA%E9%9B%BB%E8%A6%96%E5%8F%B0NTDAPTV
大愛一臺,https://www.youtube.com/watch?v=oV_i3Hsl_zg&ab_channel=%E5%A4%A7%E6%84%9B%E9%9B%BB%E8%A6%96TzuChiDaAiVideo
大愛二臺,https://www.youtube.com/watch?v=OKvWtVoDR8I&ab_channel=%E5%A4%A7%E6%84%9B%E9%9B%BB%E8%A6%96TzuChiDaAiVideo
幸福空間居家台,https://www.youtube.com/watch?v=_jbDwrcm0Xw&ab_channel=%E5%B9%B8%E7%A6%8FPlus
TaiwanPlus TV,https://www.youtube.com/watch?v=dZp87qnWelE&ab_channel=TaiwanPlusLivestream
靖天電視台,https://www.youtube.com/watch?v=pyPBOsAmUeo&ab_channel=%E6%AD%A1%E6%A8%82%E7%9C%8B%E9%9B%BB%E8%A6%96
三大一台,https://www.youtube.com/watch?v=twF2HBGfxKY&ab_channel=%E4%B8%89%E5%A4%A7%E6%9C%89%E7%B7%9A%E9%9B%BB%E8%A6%96%E5%85%AC%E5%8F%B8-%E4%B8%89%E5%A4%A7%E4%B8%80%E5%8F%B0
